true_x,true_y,noisy_x,noisy_y,ekf_x,ekf_y
5.5,3.9,5.549665619512032,3.9078545166693948,5.544228455080921,3.898659916101333
5.5,3.9,5.541738345306646,3.8700147014413653,5.543157616781905,3.8726345822349675
5.5,3.9,5.447488464567567,3.909024143959624,5.506784762774996,3.8894449467172145
5.5,3.9,5.453196528748347,3.8893019212265205,5.49118789470216,3.886628260041945
5.5,3.9,5.503773957536098,3.9360611182007212,5.496239086394105,3.9131520576079524
5.5,3.9,5.552463110196329,3.939535420208784,5.50938675841731,3.932626107162258
5.5,3.9,5.474177027953847,3.882931316446116,5.502172988300021,3.9141317649338547
5.5,3.9,5.492278717734344,3.928367408296765,5.502058826403885,3.921300867450492
5.5,3.9,5.4176141954608905,3.9189116143106064,5.49163780694685,3.918619723953899
5.5,3.9,5.563524232357415,3.8967520558252455,5.499398606767293,3.916322079239832
5.5,3.9,5.5510757405987805,3.937374908719773,5.506357543444182,3.926480944980536
5.5,3.9,5.508188831710466,3.9439373345616375,5.5079245868792865,3.9339121632598464
5.5,3.9,5.517847942224743,3.8592669397189647,5.506839086213493,3.9171294034519364
5.5,3.9,5.573956405730887,3.8701322822253448,5.512245075983152,3.9089632079227696
5.5,3.9,5.521136968946326,3.900457454526918,5.512955082829836,3.9077313911928107
5.5,3.9,5.520562295521682,3.950069066602976,5.5154403909373615,3.917672324012136
5.5,3.9,5.513816338489862,3.899134536121127,5.515002770960913,3.9147602924167146
5.5,3.9,5.501262749268872,3.8769296784592604,5.512660756307588,3.9074748249275517
5.5,3.9,5.518614674210788,3.89732657985238,5.512846103387398,3.905944810063898
5.5,3.9,5.5175703041859805,3.884350081198499,5.512446393260217,3.9022797382368144
5.5,3.9,5.521437600458047,3.9393038174066,5.514443612610565,3.908860480067167
5.5,3.9,5.507154757721184,3.902005751244443,5.5137574153667686,3.9077116651983146
5.5,3.9,5.4728531110057554,3.9899704678014056,5.513839109004294,3.9196449531179436
5.5,3.9,5.5277160656519015,3.88001743360183,5.513729977827561,3.91475468614567
5.5,3.9,5.476546596094475,3.9238738226742114,5.511642496561315,3.9153630732745577
5.5,3.9,5.464338827007562,3.844580036552344,5.5062364752483,3.903732331707947
5.5,3.9,5.487566403590286,3.9065715281130675,5.5050230393705535,3.9032249612921732
5.5,3.9,5.476906570680263,3.9222057899428844,5.503784647718961,3.904689736240496
5.5,3.9,5.502103117588316,3.8257559181520757,5.5011506151654475,3.8932987393044343
5.5,3.9,5.529263886097679,3.8691773446637083,5.501744568419088,3.8899248966976154
5.5,3.9,5.505928532794202,3.8144095719194753,5.499349856532751,3.8787568254609868
5.5,3.9,5.4142498358294615,3.8189167706559415,5.492578779681217,3.866534392166888
5.5,3.9,5.472406024821016,3.9217758472324777,5.4925741788020055,3.871017147390424
5.5,3.9,5.5212174906676355,3.9242901027584027,5.4950330878816676,3.8770360714360326
5.5,3.9,5.5401832486471125,3.9135055758768718,5.4979046774119995,3.8817664338048847
5.5,3.9,5.425550862807329,3.907087781534627,5.494856987386859,3.8819815300123865
5.5,3.9,5.571684785591326,3.88161649480626,5.498256384040177,3.8831883210086837
5.5,3.9,5.514670144842493,3.8993652047550755,5.4992809458266345,3.8849674246340777
5.5,3.9,5.477112537532445,3.876225113215313,5.497810612159955,3.882620218158225
5.5,3.9,5.474203570643529,3.967074890931017,5.49880455256611,3.8920879426823674
5.5,3.9,5.481987307311182,3.833486335549558,5.4963590185393185,3.883998818176038
5.5,3.9,5.468816497770818,3.851883604644363,5.493994634399635,3.878546068574594
5.5,3.9,5.442918157328679,3.9077830207224507,5.492080072769152,3.8799887352619917
5.5,3.9,5.549461918384354,3.8544500965167443,5.4938597508844556,3.8775363602055894
5.5,3.9,5.512737849385511,3.956858587084842,5.496663534850855,3.8872861376037577
5.5,3.9,5.530100627206798,3.890836837889131,5.49830146821771,3.8884458930292864
5.5,3.9,5.5743806458614555,3.899880224659942,5.502198735788264,3.8918702694281264
5.5,3.9,5.41020965755804,3.9243632166018165,5.498833165344302,3.8936646910694592
5.5,3.9,5.526305409798554,3.8960679057088936,5.500221771335033,3.894911524760377
5.5,3.9,5.508170148209242,3.938411333580926,5.501854012886762,3.900911856363571
5.5,3.9,5.535143356148508,3.9288880775609996,5.504286407712567,3.9059806116657882
5.5,3.9,5.468903261875325,3.8989912028565388,5.502813262121258,3.90499755057366
